,X,z,z_cat,y_c,y_k,y_r,prd_c,prd,ek_n,er_n,ek,er,ec_k,ec_r,s,blk_d,clay,silt,sand,d10,d50,d90,sp13,sp23,sp33,X0.45um,X0.95um,X15.1um,X209um,X955um,X955.um,m0.2um,m0.6um,m4.3um,m79um,m275um,m1260um,hr_cs,h_3,hrel_3,h_6,hrel_6,hrel_t,tn,oc,cn,nc,d13c,d15n,d13ci,d15ni,cs_um,oc_p,nc_p,d13c_p,d15n_p,oc_r,nc_r,d13c_r,d15n_r,cs_um_p,m4.3_p,m79_p,m275_p,m1260_p,cs_um_r,m4.3_r,m79_r,m275_r,m1260_r,sv,cv,plot_e,log_slt,d13c_w,d18o_w,rci_i,climate,r0.2um,r0.6um,r79um,r275um,r1260um
96,96,95,0-200,1881,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.697833333,29.013734,66.851885,4.13438,1.94,6.48,23.48,0.0138327,0.79435267,0.19181462,0,0.0138327,0.79435267,0.15733936,0.01981197,0.01466329,0,0.092702,5.112314,0.140219,0,0.368376,0.691724421,0.806214356,0.508664625,0.970469139,0.375428711,0.772865427,0.165732883,1.724020543,12.13613898,0.082398529,-27.13062165,1.573007317,-27.13062165,1.573007317,0.092702,2.213705516,0.077672341,-27.35251913,1.697363743,-1.585267005,0.732277005,1.223424565,-0.463095872,0.029068125,5.391623634,0.144275036,0.105185503,0.130080373,0.376694425,-0.269875982,0.234616332,-0.204249425,1.103536433,0.30847279,0.310774262,,0.992516557,,,0.013888889,Historical,0,0.154170069,0.233194245,0,0.612635686
97,97,96,0-200,1878,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.684181818,25.371121,72.861246,1.767638,2.45,6.29,17.5,0.00037164,0.86608144,0.13354697,0,0.00037164,0.86608144,0.12357187,0.00738957,0.00258553,0,0,6.284757,0.116733,0.063515,0.058447,0.591657027,0.571779658,0.360752799,0.631189674,0.244177497,0.718352794,0.159570537,1.703790158,12.45690601,0.080276756,-26.99621352,1.903964172,-26.99621352,1.903964172,0,1.909795192,0.080163345,-27.29543329,1.799630891,0.327393236,-0.332924434,0.337548704,0.473502431,0.016834877,5.425851369,0.158319205,0.11288418,0.107415924,-0.194178904,1.344438291,-0.086866347,0.15662667,-0.305334013,,,,-0.125164976,,,0.013333333,Historical,0,0,0.489046691,0.266092712,0.244860596
98,98,97,0-200,1876,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.732524242,17.026099,81.041126,1.932772,2.83,8.78,25.37,0.00339438,0.74062887,0.25597672,0,0.00339438,0.74062887,0.24468739,0.00408098,0.00720835,0,0,4.173123,0.180584,0,0.173253,0.498869903,0.851895082,0.537485954,0.929309356,0.359505933,0.741104321,0.166825852,1.427046113,9.979790942,0.1002025,-26.32476584,2.166883599,-26.32476584,2.166883599,0,2.245646425,0.072937613,-27.20703416,1.612119329,-1.762649285,3.853321077,1.423114278,1.661706958,0.119950417,6.340004642,-0.196720113,0.043878297,0.127689713,-0.650735609,-3.491334116,0.914522002,-0.001404913,0.220725738,,,,-0.522030374,,,0.012987013,Historical,0,0,0.51035929,0,0.48964071
99,99,98,0-200,1874,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.751475758,29.658583,67.115878,3.225538,2.17,6.03,21.87,0.0006893,0.82714576,0.17216493,0,0.0006893,0.82714576,0.14409554,0.011169,0.01690039,0,0,5.950116,0.121997,0,0.407935,0.672546129,0.670678924,0.423151289,0.80834673,0.312711202,0.748290908,0.149104286,1.713208112,13.40499898,0.074599036,-26.07284751,1.8499591,-26.07284751,1.8499591,0,1.988786831,0.080219522,-27.23927708,1.776475944,0.725922837,-2.809337517,1.295048049,-0.38474908,-0.02761386,5.202878318,0.257175629,0.126096608,0.105586674,0.342776489,2.411032799,-0.912037901,-0.316376628,1.328770742,,,,0.507106102,,,0.011904762,Historical,0,0,0.230212556,0,0.769787444
100,100,99,0-200,1871,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.684181818,24.416738,70.804662,4.778603,2.28,7.37,28.64,0.00402332,0.759685,0.23629171,0,0.00402332,0.759685,0.20700257,0.01814008,0.01114906,0,0,4.907255,0.283176,0.093544,0.275799,0.66813386,0.825058485,0.520553947,0.980875973,0.379454624,0.777406576,0.216403008,2.767932434,14.92241042,0.067013302,-27.4240546,1.532649593,-27.4240546,1.532649593,0,2.305878073,0.074996006,-27.4248473,1.629965214,1.684917075,-0.715616366,-1.403894833,-0.394122582,-0.008859219,4.696375425,0.520175575,0.098051722,0.136427953,0.006965883,-0.196316042,-0.314345787,0.385586255,0.509303615,,,,0.089140546,,,0.010526316,Historical,0,0,0.43397357,0.143358278,0.422668152
101,101,100,0-200,1869,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.681612121,24.767778,72.288061,2.944161,2.3,7.08,24.14,0.00290161,0.78728718,0.20981121,0,0.00290161,0.78728718,0.18879698,0.01147637,0.00953786,0,0,5.149687,0.161567,0,0.238667,0.622640439,0.768771866,0.485041044,0.888162364,0.343588104,0.757122348,0.197568878,2.263081841,13.36375534,0.074829266,-27.17988306,1.583385194,-27.17988306,1.583385194,0,2.203798269,0.076109128,-27.36873042,1.67045519,-0.659683735,0.408177912,0.380833116,-0.170300604,0.011003847,5.060660925,0.331640836,0.09886217,0.133063287,-0.075909235,-0.015398643,0.0001652,-0.343322689,0.418821794,,,,-0.35408817,,,0.014705882,Historical,0,0,0.403681346,0,0.596318654
102,102,101,0-200,1866,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.705221212,23.582457,73.890359,2.527185,2.33,7.48,25.17,0.00404665,0.76825262,0.22770074,0,0.00404665,0.76825262,0.21351856,0.00791637,0.00626581,0,0,4.85126,0.193277,7.40E-05,0.153686,0.598229895,0.810462929,0.511345176,0.901115407,0.348599025,0.759042756,0.199406373,2.322500969,13.58825408,0.073592972,-27.83527219,1.74174593,-27.83527219,1.74174593,0,2.2305313,0.075052983,-27.3357547,1.655278882,0.134398443,-0.112283862,-1.237415769,0.374538211,0.014898739,5.047217913,0.345761496,0.105881341,0.119329981,-0.066936489,-0.323057539,-0.068246924,-0.067723988,0.114148509,,,,0.778631986,,,0.01754386,Historical,0,0,0.556934851,0.000213234,0.442851915
103,103,102,0-200,1864,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.665872727,23.639932,73.627286,2.732781,2.29,7.56,25.63,0.00563367,0.76213459,0.23223173,0,0.00563367,0.76213459,0.22012976,0.01159821,0.00050376,0,0,4.743386,0.239511,0.096336,0.022132,0.605065272,0.829924522,0.523624074,0.901524428,0.348757256,0.763027974,0.208677774,2.369407529,13.24678107,0.075490038,-27.87023348,1.640606504,-27.87023348,1.640606504,0,2.287889838,0.073915326,-27.41856977,1.625071339,0.04970606,0.330845287,-0.311220878,-0.046883033,0.02829015,5.083976711,0.327425235,0.095579041,0.130275608,-0.136444569,-0.335215797,0.048421113,0.339968202,-0.493854831,,,,0.215250708,,,0.017241379,Historical,0,0,0.669064386,0.269110758,0.061824856
104,104,103,0-200,1862,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.684663636,23.559718,71.582584,4.8577,2.28,7.66,28.94,0.00618091,0.74819792,0.24562119,0,0.00618091,0.74819792,0.21773885,0.01990367,0.00797867,0,0,4.668459,0.253565,0.178913,0.19722,0.661586222,0.855986238,0.540067186,1.005442168,0.388958125,0.78072819,0.188671739,2.308386291,14.27408978,0.070057006,-27.77003438,1.812399182,-27.77003438,1.812399182,0,2.334688457,0.074146078,-27.4386273,1.607812001,-0.211830254,-0.695439371,-0.125762617,0.638459464,-0.007444465,4.933601657,0.395677876,0.120327745,0.108154073,0.086102085,-0.139624512,-0.17743579,0.209552653,0.436025247,,,,0.177842358,,,0.017241379,Historical,0,0,0.402677156,0.284125089,0.313197755
105,105,104,0-200,1859,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.664748485,24.223028,74.620919,1.156052,2.28,7.34,23.53,0.00473393,0.77862693,0.21663913,0,0.00473393,0.77862693,0.2125825,0.00405663,0,0,0,4.888541,0.17509,0,0,0.558399148,0.795683353,0.502020302,0.824761152,0.319061167,0.746891888,0.184770018,2.043160879,12.90083595,0.077514357,-27.58736849,1.430709202,-27.58736849,1.430709202,0,2.211886089,0.074533135,-27.359862,1.653465825,-0.391759636,0.724191121,-0.06061329,-0.942833296,0.018975239,5.118530156,0.266186847,0.107802505,0.136445026,-0.118693091,-0.140658156,0.024548128,-0.576759524,-0.639869272,,,,0.22330896,,,0.016949153,Historical,0,0,1,0,0
106,106,105,0-200,1857,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.728027273,22.125436,74.503252,3.371312,2.39,7.88,26.69,0.00424328,0.75213594,0.24362078,0,0.00424328,0.75213594,0.21966331,0.01381812,0.01013935,0,0,4.60871,0.170996,0.019165,0.25139,0.607417162,0.838844735,0.529252102,0.975362189,0.377321601,0.764841194,0.170365542,1.991950602,13.64091791,0.07330885,-27.52354043,1.626481301,-27.52354043,1.626481301,0,2.268537088,0.074664617,-27.31714091,1.635617707,-0.421022919,-0.412162857,-0.143137566,0.219786996,-0.008140491,5.02369544,0.315128178,0.12719364,0.115563549,0.07551394,-0.414096339,-0.1768393,-0.047266128,0.654497135,,,,-0.164254051,,,0.017241379,Historical,0,0,0.387262174,0.04340382,0.569334007
107,107,106,0-200,1855,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.734130303,23.708093,74.454975,1.836932,2.33,7.31,23.11,0.00373069,0.78645372,0.20981559,0,0.00373069,0.78645372,0.20129282,0.00769385,0.00082892,0,0,4.968396,0.15581,0.047997,0.025884,0.577356415,0.775325182,0.489175726,0.830679653,0.321350756,0.749066875,0.15823517,1.767567741,13.03226311,0.076732644,-27.13471842,1.808135624,-27.13471842,1.808135624,0,2.137918961,0.0757463,-27.27122904,1.689546845,-0.47454422,0.239813567,0.524682866,0.390367182,-0.001032674,5.245008485,0.225796255,0.124479587,0.106951173,-0.006857965,-0.107168215,0.075220829,0.067590265,-0.41058506,,,,-0.007804147,,,0.016393443,Historical,0,0,0.678346126,0.208963346,0.112690528
108,108,107,0-200,1852,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.689160606,24.643572,73.55041,1.806019,2.25,7.23,23.7,0.00571477,0.78114471,0.21314053,0,0.00571477,0.78114471,0.20667541,0.00646512,0,0,0,4.931647,0.225389,0.044369,0,0.585840765,0.796262631,0.502385786,0.838050419,0.324202157,0.753339511,0.15087933,1.784358202,13.79745811,0.072477118,-27.32641723,1.580542822,-27.32641723,1.580542822,0,2.205276771,0.074841758,-27.34908937,1.662035782,-0.440730801,-0.407751476,-0.118653675,-0.39383581,-0.026362816,4.992139082,0.304679711,0.143135319,0.110401796,0.147176019,0.096489548,-0.065240218,-0.113577389,-0.461562075,,,,0.100841933,,,0.02,Historical,0,0,0.83552295,0.16447705,0
109,109,108,0-200,1850,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.691890909,23.144965,75.982284,0.872748,2.36,7.43,22.47,0.00333898,0.78710038,0.20956061,0,0.00333898,0.78710038,0.20956061,0,0,0,0,4.896814,0.156335,0,0,0.535932215,0.771783877,0.486941412,0.771783857,0.298566752,0.737584052,0.176052713,1.873214005,12.4134204,0.080557974,-27.47158315,1.85639208,-27.47158315,1.85639208,0,2.124817057,0.074918025,-27.25386797,1.675559047,0.087916782,0.973428954,-0.467468651,0.670804355,0.03176266,5.399152771,0.175243603,0.104892672,0.113453291,-0.220344525,-0.64186845,0.085387779,-0.064720151,-0.464380438,,,,0.424016692,,,0.00952381,LIA,0,0,1,0,0
110,110,109,0-200,1848,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.848160606,20.362278,79.31613,0.32159,2.59,7.83,21.69,0.00188233,0.78766796,0.21044969,0,0.00188233,0.78766796,0.21044969,0,0,0,0,4.769738,0.050834,0,0,0.47907636,0.761453389,0.480423599,0.761453375,0.294570376,0.72285329,0.13607392,1.575698657,13.50967993,0.074020999,-27.00524644,1.762454642,-27.00524644,1.762454642,0,1.962201833,0.076557581,-26.9994602,1.743423632,-0.560472682,-0.775732771,0.250639513,-0.141191808,-0.029228693,5.136377879,0.246148205,0.147624652,0.098071112,0.214458537,-0.17283215,-0.408204788,-0.199801285,-0.394808539,,,,1.003079368,,,0.014492754,LIA,0,0,1,0,0
111,111,110,0-200,1845,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.779421212,20.563011,78.885048,0.551942,2.57,7.83,22.42,0.00226857,0.78102695,0.21670449,0,0.00226857,0.78102695,0.21670449,0,0,0,0,4.775962,0.101301,0,0,0.492472882,0.776500022,0.489916968,0.776500029,0.300391216,0.72837549,0.119223416,1.291137639,12.63449159,0.079148416,-25.94181622,1.502381301,-25.94181622,1.502381301,0,2.047391217,0.075643095,-27.1164826,1.707950511,-1.282944655,0.683784879,2.381767712,-0.680257586,-0.026126732,5.292511776,0.150235596,0.136671299,0.120138266,0.101902983,-0.463589009,0.20503738,-0.023975852,-0.498652757,,,,-0.244677858,,,0.011627907,LIA,0,0,1,0,0
112,112,111,0-200,1843,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.747460606,23.220438,72.551313,4.228251,2.3,7.72,28.13,0.00606222,0.74863281,0.24530499,0,0.00606222,0.74863281,0.22273724,0.0148561,0.00771165,0,0,4.644978,0.257242,0.136581,0.186823,0.642270112,0.854654709,0.539227085,0.984258745,0.380763258,0.776300712,0.14731805,1.845920424,14.6185334,0.068406315,-26.04073043,1.583588221,-26.04073043,1.583588221,0,2.268811281,0.074720182,-27.32768403,1.638725674,0.233662577,-1.153109484,1.186381585,0.053106747,-0.061578393,4.857898494,0.38495561,0.142405656,0.112950645,0.306817655,0.044698246,-0.207949305,0.41452519,0.372812212,,,,-0.478528332,,,0.012987013,LIA,0,0,0.443027249,0.235222494,0.321750257
113,113,112,0-200,1841,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.707630303,25.334955,70.784715,3.880329,2.24,7,25.42,0.00462518,0.78389775,0.21147706,0,0.00462518,0.78389775,0.19642542,0.01505164,0,0,0,5.144364,0.314906,0.182587,0,0.654013378,0.785238512,0.495430341,0.863546156,0.334065255,0.765668113,0.206695493,2.635674259,14.87673123,0.067219067,-27.52856497,1.174474797,-27.52856497,1.174474797,0,2.202428443,0.075640779,-27.3861693,1.674485941,1.869513149,-0.726595674,-1.838601666,-1.541197111,-0.016718767,4.586728647,0.517599422,0.108487454,0.151511396,-0.001607016,0.893240358,-0.249328248,0.286661304,-0.701342744,,,,-0.669867804,,,0.013333333,LIA,0,0,0.632985791,0.367014209,0
114,114,113,0-200,1838,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.701848485,23.653671,73.046222,3.300105,2.31,7.48,25.96,0.00452261,0.76564202,0.22983535,0,0.00452261,0.76564202,0.21128915,0.01398277,0.00456343,0,0,4.833437,0.215889,0.074212,0.109716,0.621692698,0.81775073,0.515943267,0.925675313,0.358100093,0.765909755,0.20560906,2.44606949,13.87948442,0.072048786,-27.7379173,1.426242618,-27.7379173,1.426242618,0,2.261513678,0.074858457,-27.38210567,1.645717365,-0.28370283,0.223918492,-0.547755411,-0.144467532,0.007724098,4.871905228,0.403079325,0.103478203,0.138973496,-0.06964744,-0.41195651,-0.093599758,-0.342057308,-0.074618669,,,,0.002861218,,,0.015151515,LIA,0,0,0.539969536,0.185614919,0.274415545
115,115,114,0-200,1836,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.654630303,25.367003,70.080927,4.552067,2.17,7.32,28.65,0.00661481,0.75499327,0.23839189,0,0.00661481,0.75499327,0.21382413,0.01711887,0.00744889,0,0,4.795987,0.301125,0.107716,0.186404,0.671534465,0.84715039,0.534492387,0.982993466,0.380273782,0.781482925,0.241348065,2.865420032,13.85132315,0.072195269,-27.90239052,1.515497561,-27.90239052,1.515497561,0,2.35800967,0.07406524,-27.48437327,1.607020666,0.992452686,-0.0573861,-0.416357991,-0.047983611,0.032668859,4.87901662,0.449869742,0.075146812,0.148089287,-0.17233789,-0.087721841,-0.03224626,0.211114754,0.181237778,,,,0.783107788,,,0.014925373,LIA,0,0,0.505884132,0.180960781,0.313155087
116,116,115,0-200,1834,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.63519697,24.191777,71.195941,4.612285,2.26,7.49,28.48,0.00477305,0.75533823,0.23988875,0,0.00477305,0.75533823,0.21519265,0.01710807,0.00758803,0,0,4.775445,0.277618,0.141442,0.190419,0.661826727,0.836635187,0.527858032,0.973346305,0.37654175,0.778038458,0.215048125,2.645775995,14.35371108,0.069668394,-27.56527802,1.640812189,-27.56527802,1.640812189,0,2.352161951,0.073862791,-27.48999875,1.598421824,-0.13113918,-0.455997528,0.35150245,0.238224064,0.003644316,4.843208336,0.456265664,0.09689301,0.130415129,0.030343466,-0.038275733,-0.16140578,0.057376509,0.252968799,,,,-0.202905375,,,0.015151515,LIA,0,0,0.455500518,0.232070342,0.31242914
117,117,116,0-200,1831,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.657039394,25.086591,73.362572,1.550839,2.19,7.25,23.61,0.00599725,0.77946613,0.21453664,0,0.00599725,0.77946613,0.21061268,0.00392396,0,0,0,4.827036,0.221244,0.030076,0,0.581429443,0.800863659,0.505288711,0.829124777,0.320749248,0.752964751,0.201112891,2.416349052,14.01737045,0.071340057,-27.19559064,1.544549499,-27.19559064,1.544549499,0,2.226984802,0.074091952,-27.36422956,1.641518045,-0.025348445,-0.080048509,0.431641642,-0.358243644,-0.00269008,4.899044127,0.407871827,0.102618297,0.133538889,0.020861455,-0.053879957,-0.131110766,-0.404449389,-0.616275472,,,,-0.035930971,,,0.007462687,LIA,0,0,0.880327869,0.119672131,0
118,118,117,0-200,1829,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.581072727,25.714,71.673142,2.612857,2.16,7.09,23.94,0.00633341,0.78329988,0.2103667,0,0.00633341,0.78329988,0.19586719,0.01304594,0.00145357,0,0,4.907673,0.22749,0,0.059007,0.621850447,0.795377096,0.501827075,0.878320224,0.339780644,0.760659773,0.235721646,2.80897885,13.90259252,0.07192903,-27.75868876,1.156313821,-27.75868876,1.156313821,0,2.339433681,0.073589111,-27.52641681,1.605797558,0.885673587,-0.031924307,-0.672781411,-1.332451759,0.023186109,4.751456866,0.466360448,0.079732618,0.166668246,-0.135048991,0.258208246,-0.235584737,-0.057270733,-0.430117531,,,,-0.09150023,,,0.010526316,LIA,0,0,0.794039728,0,0.205960272
119,119,118,0-200,1826,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.528393939,24.06713,72.154529,3.778342,2.24,7.56,27.29,0.00533562,0.7569819,0.23768249,0,0.00533562,0.7569819,0.22108236,0.01660013,0,0,0,4.675517,0.321193,0.135279,0,0.639034779,0.837031242,0.528107915,0.923864345,0.357399515,0.771312844,0.214869085,2.440898976,13.25325825,0.075453144,-27.53778061,1.639396562,-27.53778061,1.639396562,0,2.445124203,0.071835487,-27.63366609,1.549262908,-0.837766452,0.634973707,0.473727132,0.791524222,0.028218174,5.085499252,0.339764895,0.087419958,0.135082549,-0.123123328,-0.656513734,0.343470686,0.427281143,-0.561638501,,,,-0.083465829,,,0.011904762,LIA,0,0,0.703642283,0.296357717,0
120,120,119,0-200,1824,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.665872727,26.573704,72.381033,1.045263,2.12,6.89,22.44,0.00667124,0.79435344,0.19897532,0,0.00667124,0.79435344,0.19897532,0,0,0,0,5.024054,0.231309,0,0,0.576905206,0.775541614,0.489312279,0.775541614,0.300020451,0.747157065,0.20723553,2.364130787,13.30926498,0.075135629,-27.53317092,1.56937636,-27.53317092,1.56937636,0,2.162449297,0.074858451,-27.31916439,1.669162233,0.531080451,-0.227873805,-0.548189875,-0.42065901,0.021626032,5.053560225,0.338337943,0.094194822,0.135663372,-0.078076914,0.224546555,-0.210450129,-0.493339429,-0.554163972,,,,0.099971177,,,0.015151515,LIA,0,0,1,0,0
121,121,120,0-200,1822,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.699278788,24.987162,72.204219,2.80862,2.18,7.38,25.65,0.00634214,0.76442556,0.22923231,0,0.00634214,0.76442556,0.21241399,0.01581905,0.00099927,0,0,4.715061,0.235645,0,0.031427,0.620792236,0.829703138,0.523484397,0.921905423,0.356641701,0.765299115,0.221017569,2.621186623,13.83623515,0.072273996,-27.73128089,1.425838996,-27.73128089,1.425838996,0,2.299327482,0.074170888,-27.39790267,1.637549535,0.480536747,-0.289135856,-0.41611429,-0.567089518,0.017989509,4.870161378,0.422563211,0.090333109,0.145738897,-0.067826447,-0.191193729,-0.247250114,-0.026613002,-0.458934357,,,,0.085765201,,,0.014285714,LIA,0,0,0.882327612,0,0.117672388
122,122,121,0-200,1819,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.682575758,25.301555,73.167313,1.531132,2.19,7.15,23.25,0.00683166,0.78262566,0.21054268,0,0.00683166,0.78262566,0.20482985,0.00571283,0,0,0,4.918069,0.180715,0.056706,0,0.582825463,0.799145829,0.504204881,0.837003073,0.323796989,0.75270274,0.209968047,2.404738894,13.36169362,0.074840812,-27.49500686,1.474172574,-27.49500686,1.474172574,0,2.199468006,0.074862015,-27.35224456,1.660083396,-0.033784106,0.137065778,0.113087201,-0.359236906,0.020584893,5.007455128,0.353468996,0.092457175,0.142115345,-0.088141315,-0.021080932,-0.086612259,0.158559897,-0.590495528,,,,-0.005441384,,,0.0125,LIA,0,0,0.761158448,0.238841552,0
123,123,122,0-200,1817,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.684181818,24.370945,74.426478,1.202579,2.23,7.37,23.38,0.00712509,0.77672568,0.21614925,0,0.00712509,0.77672568,0.21386091,0.00228834,0,0,0,4.787729,0.19186,0.025435,0,0.561664091,0.811624989,0.512078354,0.829923973,0.321058419,0.749596535,0.216226516,2.404488874,12.97360323,0.077079589,-27.42473571,1.58519824,-27.42473571,1.58519824,0,2.20096855,0.07434568,-27.32046984,1.652262928,0.166964601,0.388786234,-0.038769448,-0.007108502,0.034587583,5.136245785,0.313330823,0.082378938,0.140886097,-0.163124461,-0.414724748,0.005734745,-0.092080595,-0.574825788,,,,0.00986811,,,0.008547009,LIA,0,0,0.882947146,0.117052854,0
124,124,123,0-200,1815,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.648527273,26.229179,72.498256,1.272562,2.12,7.02,23.29,0.00819357,0.78275602,0.20905038,0,0.00819357,0.78275602,0.2064596,0.00259078,0,0,0,4.927383,0.232046,0,0,0.582298983,0.805442863,0.508177867,0.825568123,0.319373346,0.752778674,0.260506796,2.95713329,13.24337364,0.075509461,-27.9349654,1.535449034,-27.9349654,1.535449034,0,2.236259923,0.074314353,-27.39167756,1.64612523,1.51328882,-0.032604688,-0.972716441,-0.279798287,0.058156459,5.011080968,0.409065291,0.055618515,0.15672212,-0.274319708,0.111431119,-0.20172822,-0.019739486,-0.645748872,,,,-0.038451042,,,0.009345794,LIA,0,0,1,0,0
125,125,124,0-200,1812,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.638087879,25.94488,71.982028,2.073091,2.13,7.14,24.39,0.00846708,0.77357982,0.21795309,0,0.00846708,0.77357982,0.20703013,0.00845009,0.00247287,0,0,4.850543,0.217102,0,0.058892,0.607171922,0.823844967,0.519788302,0.894802417,0.346156827,0.761817302,0.250281148,2.86440166,13.35219197,0.07489407,-27.88404427,1.409862625,-27.88404427,1.409862625,0,2.308426656,0.07406514,-27.4590598,1.625184473,0.174172643,0.029158296,-0.204542695,-0.566489031,0.04790502,4.950224155,0.413404611,0.064402907,0.159564136,-0.179733368,-0.081107862,-0.155467103,-0.05574638,-0.390510622,,,,-0.193151646,,,0.0125,LIA,0,0,0.78661855,0,0.21338145
126,126,125,0-200,1810,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.659930303,25.205737,73.607777,1.186485,2.18,7.24,24.06,0.00753957,0.77336771,0.21909271,0,0.00753957,0.77336771,0.21909271,0,0,0,0,4.844954,0.272457,0,0,0.569372206,0.819805827,0.517239889,0.819805821,0.317144183,0.751260608,0.244239371,2.860208178,13.66245552,0.073193285,-27.85835634,1.337113947,-27.85835634,1.337113947,0,2.228860958,0.074012888,-27.35490209,1.643890919,0.660227498,-0.177294768,-0.505733708,-0.742650656,0.036323568,4.858496122,0.44327728,0.071534989,0.160229992,-0.130346291,0.045963453,-0.067136339,-0.05355307,-0.67611144,,,,0.169556244,,,0.014705882,LIA,0,0,1,0,0
127,127,126,0-200,1808,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.626845455,23.065446,74.903072,2.031481,2.28,7.88,26.25,0.00706255,0.74549038,0.24744706,0,0.00706255,0.74549038,0.24062615,0.00682091,0,0,0,4.494681,0.242738,0.066381,0,0.577035253,0.864917357,0.545702095,0.90996017,0.352020646,0.761097049,0.228325666,2.691689563,13.75362018,0.07270813,-27.77414394,1.308864356,-27.77414394,1.308864356,0,2.348002316,0.072494365,-27.4509695,1.58792392,-0.219364016,0.090797344,-0.046713508,-0.551538624,0.023576388,4.841766586,0.430834061,0.084442967,0.155400404,-0.07645282,-0.46172317,-0.147030435,0.162647167,-0.632770948,,,,-0.175004149,,,0.012658228,LIA,0,0,0.785257457,0.214742543,0
128,128,127,0-200,1805,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.618493939,25.575462,72.246288,2.17825,2.15,7.24,25.14,0.00820729,0.76655453,0.22523818,0,0.00820729,0.76655453,0.21453348,0.0107047,0,0,0,4.798694,0.234976,0.042878,0,0.607083792,0.835240844,0.5269783,0.89736012,0.347146282,0.763031079,0.244473582,2.795825237,13.34212098,0.074950602,-28.0197013,1.453294784,-28.0197013,1.453294784,0,2.338107688,0.073529426,-27.50129245,1.610271992,0.583225818,0.185505365,-0.658643756,-0.191180362,0.046584462,4.968456373,0.400329232,0.070178683,0.153873204,-0.226169997,-0.006149369,-0.06809008,-0.041208479,-0.627746423,,,,0.242411775,,,0.012345679,LIA,0,0,0.845681545,0.154318455,0
129,129,128,0-200,1803,,,1800-1900,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.65109697,24.306115,73.146561,2.547324,2.23,7.49,25.87,0.00645359,0.75959469,0.23395172,0,0.00645359,0.75959469,0.2172938,0.0079183,0.00873962,0,0,4.732942,0.219596,0,0.2127,0.606236601,0.838580831,0.529085597,0.941864023,0.364362741,0.763417499,0.226727894,2.57986296,13.27512052,0.075328883,-27.75710527,1.49837244,-27.75710527,1.49837244,0,2.316174659,0.074016584,-27.41976229,1.61380557,-0.121336256,0.080927642,-0.057338068,-0.194511724,0.03551835,5.018342432,0.365686866,0.080879778,0.146201289,-0.12785979,-0.277310162,-0.061498288,-0.205615441,0.352373998,,,,0.692317281,,,0.009009009,LIA,0,0,0.507976016,0,0.492023984
