,X,z,z_cat,y_c,y_k,y_r,prd_c,prd,ek_n,er_n,ek,er,ec_k,ec_r,s,blk_d,clay,silt,sand,d10,d50,d90,sp13,sp23,sp33,X0.45um,X0.95um,X15.1um,X209um,X955um,X955.um,m0.2um,m0.6um,m4.3um,m79um,m275um,m1260um,hr_cs,h_3,hrel_3,h_6,hrel_6,hrel_t,tn,oc,cn,nc,d13c,d15n,d13ci,d15ni,cs_um,oc_p,nc_p,d13c_p,d15n_p,oc_r,nc_r,d13c_r,d15n_r,cs_um_p,m4.3_p,m79_p,m275_p,m1260_p,cs_um_r,m4.3_r,m79_r,m275_r,m1260_r,sv,cv,plot_e,log_slt,d13c_w,d18o_w,rci_i,climate,r0.2um,r0.6um,r79um,r275um,r1260um
11,11,10,0-200,1997,1997,1997,1900-present,ofp,1996 A.D.,1996 A.D.,23,28,evnt,evnt,0.25,0.644993939,11.08745067,77.64586767,11.26668333,3.52,15.72,64.67,0.00663166,0.47894923,0.51441914,0,0.006582657,0.479418147,0.51210018,0.001899033,0,0,0,2.185679667,2.118157333,0.027887,0,0.624691325,1.049979644,0.662463398,1.067799059,0.413081064,0.790844194,0.185105916,4.061829725,25.60048564,0.039061759,-26.64070982,1.160288593,-26.64070982,1.160288593,0,2.87944181,0.051299796,-27.43363759,1.628300164,3.102389452,-1.388722406,0.240181635,-1.178190119,0.006706855,2.829341315,1.472223036,0.204104724,0.104001943,0.016300065,-0.541714929,2.898977983,0.126595724,-0.440528371,0.240713998,0.256748163,1,-0.430585816,,,0.012987013,Historical,0,0,0.987005394,0.012994606,0
12,12,11,0-200,1997,1997,1997,1900-present,ofp,1996 A.D.,1996 A.D.,23,28,evnt,evnt,0.125,0.61399697,18.425247,74.445003,7.129748,2.62,9.27,44.08,0.00552311,0.68069437,0.3137825,0,0.00552311,0.68069437,0.31273753,0.00104497,0,0,0,3.932585,1.148173,0,0,0.655041785,0.943852095,0.59550437,0.953957415,0.369041104,0.78137744,0.182941891,3.051719937,19.46158914,0.051383265,-27.54626348,1.449945017,-27.54626348,1.449945017,0,2.598714294,0.061050924,-27.49155957,1.820434099,-0.905829787,-0.465618874,-1.066037443,-0.664343343,0.042634728,3.458809636,1.126930835,0.232648838,0.070504964,-0.230168108,1.057507151,-0.993874422,-0.280096858,-0.275603118,0.228162355,0.228789202,1,-0.430585816,,,0.012987013,Historical,0,0,1,0,0
13,13,12,0-200,1995,,1997,1900-present,ofp,No-Event,1996 A.D.,0,28,n_evnt,evnt,0,0.524057576,21.890873,75.84296,2.266168,2.42,7.87,25.67,0.00405946,0.75700495,0.2389356,0,0.00405946,0.75700495,0.23465638,0.00427922,0,0,0,4.640274,0.313227,0.067793,0,0.57169917,0.829757945,0.523518976,0.860708815,0.332967621,0.754517107,0.24528256,2.759386254,13.12479762,0.076191651,-28.36930861,1.694986913,-28.36930861,1.694986913,0,2.413217883,0.065807181,-27.49213862,1.893147193,0.101109751,2.184689061,-1.707438197,-0.220966162,0.058305814,5.095075417,0.361195273,0.070506026,0.139143926,-0.262621975,-0.922169541,-0.141995148,0.731683167,-0.593342549,0.338539911,0.277185227,1,0.240507948,,,0.013157895,Historical,0,0,0.822074957,0.177925043,0
14,14,13,0-200,1993,,,1900-present,ofp,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.534818182,24.71263,72.019269,3.268102,2.21,7.4,26.45,0.0061153,0.76172824,0.23215647,0,0.0061153,0.76172824,0.21637869,0.01577778,0,0,0,4.755366,0.284236,0.125122,0,0.631379171,0.833176263,0.525675694,0.916351239,0.354493049,0.769076398,0.296329105,3.500690351,13.78244215,0.072556082,-28.86698793,1.672105842,-28.86698793,1.672105842,0,2.52779908,0.067366376,-28.19892847,1.85126231,1.916440358,-0.031751808,-0.29364812,-0.352736168,0.079030863,4.885952788,0.512426915,0.038801685,0.156104138,-0.355167325,0.116455295,-0.435189696,0.320959438,-0.643637878,0.330137815,0.294725509,,0.672598599,,,0.01754386,Historical,0,0,0.69434578,0.30565422,0
15,15,14,0-200,1991,,,1900-present,ofp,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.549593939,23.940281,73.397203,2.662518,2.21,7.81,27.83,0.00713052,0.7393168,0.2535527,0,0.00713052,0.7393168,0.24389697,0.00733276,0.00232297,0,0,4.483642,0.335743,0.046812,0.053663,0.606035788,0.874943469,0.552027867,0.941815476,0.364343961,0.770521711,0.249557451,2.956441841,13.82119481,0.072352645,-28.58521446,1.78325508,-28.58521446,1.78325508,0,2.561512999,0.066416787,-28.29158432,1.832504934,-0.687727772,0.457518204,0.211357711,0.042446833,0.048041634,4.956027083,0.440557994,0.074286038,0.131977913,-0.147973746,-0.556038753,0.132538944,-0.374523209,-0.291245076,0.344127576,0.279822763,,0.630194335,,,0.015625,Historical,0,0,0.769667918,0.107313316,0.123018766
16,16,15,0-200,1988,,1982,1900-present,ofp,No-Event,1982 A.D.,0,27,n_evnt,evnt,1,0.564851515,26.270094,72.077884,1.652024,2.1,7.23,25.97,0.00797535,0.7590141,0.23301057,0,0.00797535,0.7590141,0.22838449,0.00462608,0,0,0,4.741092,0.310628,0,0,0.596158859,0.847206284,0.534527652,0.879971615,0.340419489,0.76193064,0.228055144,2.613043859,13.36760535,0.074807714,-28.2708957,2.0173927,-28.2708957,2.0173927,0,2.406691163,0.066505666,-27.50455509,1.917131737,-0.159639731,0.737559505,-1.195481209,0.376467827,0.044424595,5.162507045,0.347452717,0.084364514,0.113711486,-0.175853624,-0.266405412,0.086304972,-0.217670923,-0.477300222,0.391676767,0.314663045,,0.38230997,,,0.017241379,Historical,0,0,1,0,0
17,17,16,0-200,1986,,1982,1900-present,ofp,No-Event,1982 A.D.,0,27,n_evnt,evnt,0.875,0.647884848,26.852386,71.323536,1.824079,2.12,6.88,23.98,0.00633845,0.78509655,0.20856501,0,0.00633845,0.78509655,0.19940431,0.00893036,0.00023034,0,0,5.036785,0.247918,0,0,0.607248504,0.791980778,0.499684237,0.847758968,0.327957937,0.757085551,0.155656902,1.985995247,14.88526638,0.067180524,-27.67261981,2.035851546,-27.67261981,2.035851546,0,2.288957207,0.068924202,-27.36422569,1.987141027,-1.149957493,-0.860001436,0.299934265,0.044041122,-0.040401305,4.91841525,0.387256119,0.1527589,0.078971381,0.297246391,0.432363789,-0.253586631,-0.283804733,-0.309717799,0.526714621,0.319188914,,0.848419675,,,0.018181818,Historical,0,0,1,0,0
18,18,17,0-200,1984,,1982,1900-present,ofp,No-Event,1982 A.D.,0,27,n_evnt,evnt,0.75,0.606609091,29.060027,69.011578,1.928399,1.78,6.75,23.35,0.02655352,0.76866526,0.20478126,0,0.02655352,0.76866526,0.19270128,0.01207998,0,0,0.341921,4.643213,0.197069,0,0,0.629184018,0.899278382,0.567381488,0.965508999,0.373509866,0.773725323,0.190702903,2.053983937,12.56569538,0.079581748,-27.66560001,2.256105842,-27.66560001,2.256105842,0.341921,2.30018811,0.071028868,-27.47426569,2.044832585,-0.105768997,1.340152909,-0.015214493,0.622797565,0.040932102,5.482591386,0.191877324,0.097091852,0.094175667,1.635746997,-1.214123371,0.236347501,0.135589033,-0.390122734,0.460075114,0.366171922,,0.132034161,,,0.018867925,Historical,0,0.634373551,0.365626449,0,0
19,19,18,0-200,1982,1982,1982,1900-present,ofp,1982 A.D.,1982 A.D.,22,27,evnt,evnt,0.625,0.699921212,36.68309,62.794897,0.522013,1.75,5.42,20.87,0.00695543,0.82080392,0.17224065,0,0.00695543,0.82080392,0.17224065,0,0,0,0,5.241069,0.15648,0,0,0.625783391,0.720754335,0.454745355,0.720754335,0.278825838,0.749207289,0.148168218,1.617303136,12.73453705,0.078526608,-26.02998758,2.491110653,-26.02998758,2.491110653,0,2.108942435,0.071283974,-27.0251451,2.05765127,-0.842951918,0.394264099,2.242436305,1.153274069,0.129233545,5.018175788,0.473541983,0.204103076,0.026214045,-1.198423453,0.843732254,-0.720524937,-0.429006666,-0.082108055,0.217695926,0.283481982,,2.994233281,,,0.019607843,Historical,0,0,1,0,0
20,20,19,0-200,1982,1982,1982,1900-present,ofp,1982 A.D.,1982 A.D.,22,27,evnt,evnt,0.5,0.629093939,37.578545,62.23144,0.190018,2.1,4.71,12.24,0,0.93491888,0.06508115,0,0,0.93491888,0.06508115,0,0,0,0,7.969132,0.050117,0,0,0.614294147,0.347293309,0.219117682,0.347293342,0.134351404,0.68480695,0.159784468,1.819070106,13.28194466,0.07529018,-25.65693558,2.190782131,-25.65693558,2.190782131,0,1.758788263,0.083016067,-26.71696024,2.31765931,1.0222147,-1.629070571,0.943905103,-0.891392636,0.11296524,4.782589375,0.568564049,0.200304999,0.046248647,-0.436151043,4.175414672,-0.653213412,-0.074198482,-0.196195475,0.16556492,0.263140944,,2.994233281,,,0.019607843,Historical,0,0,1,0,0
